Nom du jeu;Plateforme;Studio de développement;Date de sortie
Freedom Wars Remastered;Playstation5;Dimps;2025-01-10
Tales of Graces f Remastered;Playstation5;TOSE / Bandai Namco Studios;2025-01-17
Dynasty Warriors: Origins;Playstation5;Omega Force;2025-01-17
Cuisineer;Playstation5;BattleBrew Productions;2025-01-28
Sniper Elite: Resistance;Playstation5;Rebellion Developments;2025-01-30
Phantom Brave: The Lost Hero;Playstation5;Nippon Ichi Software;2025-01-30
Kingdom Come: Deliverance II;Playstation5;Warhorse Studios;2025-02-04
Sid Meier's Civilization VII;Playstation5;Firaxis Games;2025-02-11
The Legend of Heroes: Trails Through Daybreak II;Playstation5;Nihon Falcom;2025-02-14
Tomb Raider IV-VI Remastered;Playstation5;Aspyr / Crystal Dynamics;2025-02-14
Rugby 25;Playstation5;Big Ant Studios;2025-02-13
Afterlove EP;Playstation5;Pikselnesia;2025-02-14
Like a Dragon: Pirate Yakuza in Hawaii;Playstation5;Ryu Ga Gotoku Studio;2025-02-21
Monster Hunter Wilds;Playstation5;Capcom;2025-02-28
1917: The Alien Invasion DX Remastered;Playstation5;Andrade Games;2025-02-28
Two Point Museum;Playstation5;Two Point Studios;2025-03-04
Split Fiction;Playstation5;Hazelight Studios;2025-03-06
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars;Playstation5;Konami;2025-03-06
WWE 2K25;Playstation5;Visual Concepts;2025-03-14
MLB The Show 25;Playstation5;San Diego Studio;2025-03-18
Assassin's Creed Shadows;Playstation5;Ubisoft Quebec;2025-03-20
Atelier Yumia: The Alchemist of Memories & the Envisioned Land;Playstation5;Gust;2025-03-21
Bleach: Rebirth of Souls;Playstation5;Tamsoft;2025-03-21
Atomfall;Playstation5;Rebellion Developments;2025-03-27
The First Berserker: Khazan;Playstation5;Neople;2025-03-27
South of Midnight;Playstation5;Compulsion Games;2025-04-08
Amerzone: The Explorer's Legacy;Playstation5;Microids Studio Paris;2025-04-24
Clair Obscur: Expedition 33;Playstation5;Sandfall Interactive;2025-04-24
Fatal Fury: City of the Wolves;Playstation5;SNK;2025-04-24
Days Gone Remastered;Playstation5;Bend Studio;2025-04-25
Forza Horizon 5;Playstation5;Playground Games;2025-04-29
MotoGP 25;Playstation5;Milestone;2025-04-30
Doom: The Dark Ages;Playstation5;id Software;2025-05-15
Capcom Fighting Collection 2;Playstation5;Capcom;2025-05-16
Onimusha 2: Samurai's Destiny;Playstation5;Capcom;2025-05-23
F1 25;Playstation5;Codemasters;2025-05-30
Elden Ring Nightreign;Playstation5;FromSoftware;2025-05-30
Raidou Remastered: The Mystery of the Soulless Army;Playstation5;Atlus;2025-06-19
Death Stranding 2: On the Beach;Playstation5;Kojima Productions;2025-06-26
The Alters;Playstation5;11 bit studios;2025-06-13
Tony Hawk's Pro Skater 3 + 4;Playstation5;Iron Galaxy Studios;2025-07-11
RoboCop: Rogue City - Unfinished Business;Playstation5;Teyon;2025-07-17
Wuchang: Fallen Feathers;Playstation5;Leenzee;2025-07-24
Ninja Gaiden: Ragebound;Playstation5;The Game Kitchen;2025-07-31
Mafia: The Old Country;Playstation5;Hangar 13;2025-08-08
Gears of War: Reloaded;Playstation5;The Coalition;2025-08-26
Metal Gear Solid Delta: Snake Eater;Playstation5;Konami / Virtuos;2025-08-28
Lost Soul Aside;Playstation5;Ultizero Games;2025-08-29
Hell is Us;Playstation5;Rogue Factor;2025-09-04
Cronos: The New Dawn;Playstation5;Bloober Team;2025-09-05
Class of Heroes 3 Remaster;Playstation5;Acquire / Zerodiv;2025-09-05
Borderlands 4;Playstation5;Gearbox Software;2025-09-12
The Legend of Heroes: Trails in the Sky 1st Chapter;Playstation5;Nihon Falcom;2025-09-19
Sonic Racing: CrossWorlds;Playstation5;Sonic Team;2025-09-25
Silent Hill f;Playstation5;NeoBards Entertainment;2025-09-25
Agatha Christie: Death on the Nile;Playstation5;Microids Studio Lyon;2025-09-25
EA Sports FC 26;Playstation5;EA Vancouver / EA Romania;2025-09-26
Ghost of Yotei;Playstation5;Sucker Punch Productions;2025-10-02
Digimon Story: Time Stranger;Playstation5;Media.Vision;2025-10-03
Little Nightmares III;Playstation5;Supermassive Games;2025-10-10
Battlefield 6;Playstation5;Battlefield Studios;2025-10-10
Ninja Gaiden 4;Playstation5;Team Ninja / PlatinumGames;2025-10-21
Jurassic World Evolution 3;Playstation5;Frontier Developments;2025-10-21
The Outer Worlds 2;Playstation5;Obsidian Entertainment;2025-10-29
Dragon Quest I & II HD-2D Remake;Playstation5;Artdink / Square Enix;2025-10-30
Football Manager 26;Playstation5;Sports Interactive;2025-11-04
Age of Empires IV: Anniversary Edition;Playstation5;Relic Entertainment / World's Edge;2025-11-04
Syberia Remastered;Playstation5;Microids Studio Paris;2025-11-06
Anno 117: Pax Romana;Playstation5;Ubisoft Mainz;2025-11-13
Call of Duty: Black Ops 7;Playstation5;Treyarch / Raven Software;2025-11-14
1000xResist;Playstation5;Sunset Visitor;2025-11-04
Dying Light: The Beast;Playstation5;Techland;2025-12-31
Dead End City;Playstation5;Pixel Licker;2025-12-31
Amber Alert;Playstation5;MEATBREAD;2025-12-31
Oxide Room 208;Playstation5;WildSphere;2025-12-31
Darksiders Warmastered Edition;Playstation5;KAIKO / Vigil Games;2025-12-31
System Shock 2: Remastered;Playstation5;Nightdive Studios;2025-12-31
Tiny Bookshop;Playstation5;neoludic games;2025-12-31
Dead of Darkness;Playstation5;Retrofiction Games;2025-12-31
Forgive Me Father 2;Playstation5;Byte Barrel;2025-12-31
Total Chaos;Playstation5;Trigger Happy Interactive;2025-12-31
Rushing Beat X: Return of the Brawl Brothers;Playstation5;City Connection;2025-12-31
The Bearer & the Last Flame;Playstation5;Dark Reaper Studio;2025-12-31
Portrait of a Torn;Playstation5;Somepx;2025-12-31
The Last Case of John Morley;Playstation5;Blyts;2025-12-31
Necrophosis: Full Consciousness;Playstation5;Dragonis Games;2025-12-31
I Hate This Place;Playstation5;Rock Square Thunder;2025-12-31
Sworn;Playstation5;Windwalk Games;2025-12-31
Naiad;Playstation5;HiWarp;2025-12-31
Ereban: Shadow Legacy;Playstation5;Baby Robot Games;2025-12-31
Hunt the Night;Playstation5;Moonlight Games;2025-12-31
Inspector Waffles Early Days;Playstation5;Goloso Games;2025-12-31
Koira;Playstation5;Studio Tolima;2025-12-31
Windswept;Playstation5;WeatherFell;2025-12-31
Formation Z;Playstation5;City Connection;2025-12-31
Taxi Chaos 2;Playstation5;Team6 Game Studios;2025-12-31
This is Fine: Maximum Cope;Playstation5;Numskull Games;2025-12-31
Detective Collection Vol. 2;Playstation5;Various;2025-12-31
Hood Story: Kaito Yamazaki;Playstation5;Zerouno Games;2025-12-31
Frank and Drake;Playstation5;Appnormals Team;2025-12-31
Gobliiins Collection;Playstation5;Pierre Gilhodes / Red Art Studios;2025-12-31
Dungeon Drafters;Playstation5;Manalith Studios;2025-12-31
City Hunter;Playstation5;Red Art Studios;2025-12-31
Astral Ascent: Stellar Edition;Playstation5;Hibernian Workshop;2025-12-31
Monster Crown: Sin Eater;Playstation5;Studio Aurum;2025-12-31
Metal Suits: Counter-Attack;Playstation5;Eggtart;2025-12-31
16-Bit Collection: Data East Vol. 1;Super Nintendo;;2017-09-30
2020 Super Baseball;Super Nintendo;SNK;1993-03-12
3 Ninjas Kick Back;Super Nintendo;;1994-06-01
3rd Super Robot Wars;Super Nintendo;Banpresto;1993-07-23
3×3 Eyes: Jūma Hōkan;Super Nintendo;;1995-12-22
3×3 Eyes: Seima Kōrinden;Super Nintendo;Yutaka;1992-07-28
4th Super Robot Wars;Super Nintendo;Banpresto;1995-03-17
90 Minutes European Prime Goal;Super Nintendo;;1995-01-01
A-Train III - Super Version;Super Nintendo;;1995-09-29
A.S.P. Air Strike Patrol;Super Nintendo;;1994-02-18
Aaahh!!! Real Monsters;Super Nintendo;Realtime Associates;1995-08-15
ABC Monday Night Football;Super Nintendo;Kuusoukagaku;1989-01-01
Accele Brid;Super Nintendo;Genki;1993-11-26
Ace o Nerae!;Super Nintendo;Telenet Japan;1993-01-01
Acme Animation Factory;Super Nintendo;Acclaim Studios London;1994-01-01
Acrobat Mission;Super Nintendo;UPL;1991-01-01
Action Pachio;Super Nintendo;;1993-04-09
ActRaiser;Super Nintendo;;1990-12-16
ActRaiser 2;Super Nintendo;;1993-10-29
Addams Family Values;Super Nintendo;Ocean Software;1995-01-01
Advanced V.G.;Super Nintendo;Giga;1993-01-01
Adventures of Rocky & Bullwinkle and Friends;Super Nintendo;;1992-01-01
Adventures of Yogi Bear;Super Nintendo;;1994-10-01
Aero Fighters;Super Nintendo;Video System;1993-06-30
Aero the Acro-Bat;Super Nintendo;Acclaim Studios Austin;1993-08-01
