Nom du jeu;Plateforme;Studio de développement;Date de sortie
90 Minutes European Prime Goal;Super Nintendo;Namco;20/12/1995
Aaahh!!! Real Monsters;Super Nintendo;Realtime Associates;1995
Acme Animation Factory;Super Nintendo;Probe Entertainment;03/1995
ActRaiser;Super Nintendo;Quintet;18/03/1993
ActRaiser 2;Super Nintendo;Quintet;11/1994
Addams Family Values;Super Nintendo;Ocean Software;28/03/1996
Aero the Acro-Bat;Super Nintendo;Iguana Entertainment;11/1993
Aero the Acro-Bat 2;Super Nintendo;Iguana Entertainment;08/1994
Aguri Suzuki F-1 Super Driving;Super Nintendo;Genki;1993
Air Cavalry;Super Nintendo;Synergistic Software;1995
Al Unser Jr.'s Road to the Top;Super Nintendo;Radical Entertainment;1994
Aladdin;Super Nintendo;Capcom;27/01/1994
Alfred Chicken;Super Nintendo;Twilight Games;1994
Alien 3;Super Nintendo;Probe Entertainment;28/06/1993
Alien vs Predator;Super Nintendo;Jorudan;1993
All-American Championship Football;Super Nintendo;Malibu Games;1994
An American Tail: Fievel Goes West;Super Nintendo;Shimada Kikaku;11/1994
Animaniacs;Super Nintendo;Konami;12/1994
Another World;Super Nintendo;Delphine Software International;1992
Archer Maclean's Super Dropzone;Super Nintendo;Eurocom Entertainment Software;12/1995
Arcus OdysseyNA;Super Nintendo;Wolf Team;Cancelled
Ardy Lightfoot;Super Nintendo;ASCII Entertainment;31/10/1994
Arkanoid: Doh It Again;Super Nintendo;Taito;18/12/1997
Art of Fighting;Super Nintendo;Monolith Corporation;1993
Asterix;Super Nintendo;Infogrames;30/05/1993
Asterix & Obelix;Super Nintendo;Infogrames;28/09/1995
Axelay;Super Nintendo;Konami;30/09/1992
B.O.B.;Super Nintendo;Gray Matter;22/07/1993
Barkley Shut Up and Jam!;Super Nintendo;Accolade;12/1994
Bass Masters Classic: Pro Edition;Super Nintendo;Black Pearl Software;11/1996
Batman Forever;Super Nintendo;Probe Entertainment;07/09/1995
Batman Returns;Super Nintendo;Konami;07/05/1993
Battle Clash;Super Nintendo;Intelligent Systems;18/03/1993
Battletoads & Double Dragon: The Ultimate Team;Super Nintendo;Rare;10/07/1994
Battletoads in Battlemaniacs;Super Nintendo;Rare;10/1993
Beauty and the Beast;Super Nintendo;Probe Entertainment;23/02/1995
Beavis and Butt-head;Super Nintendo;Realtime Associates;05/1995
Beethoven's 2nd;Super Nintendo;Riedel Software Productions;1993
Best of the Best: Championship Karate;Super Nintendo;Loriciel;1993
Big Sky Trooper;Super Nintendo;LucasArts;1995
Biker Mice from Mars;Super Nintendo;Konami;01/1995
BioMetal;Super Nintendo;Athena;1993
Blackhawk;Super Nintendo;Blizzard Entertainment;23/02/1995
Blazing Skies;Super Nintendo;Malibu Interactive;21/01/1993
Boogerman: A Pick and Flick Adventure;Super Nintendo;Interplay Entertainment;25/01/1996
Boxing Legends of the Ring;Super Nintendo;Sculptured Software;1993
Bram Stoker's Dracula;Super Nintendo;Psygnosis / Traveller's Tales;1993
Brawl Brothers: Rival Turf! 2;Super Nintendo;Jaleco;1993
Breath of Fire II;Super Nintendo;Capcom;25/04/1996
Brett Hull Hockey;Super Nintendo;Radical Entertainment;1994
Brutal: Paws of Fury;Super Nintendo;Eurocom Entertainment Software;1994
Bubsy II;Super Nintendo;Accolade;04/06/1994
Bubsy in Claws Encounters of the Furred Kind;Super Nintendo;Accolade / Solid Software;28/10/1993
Bugs Bunny Rabbit Rampage;Super Nintendo;Viacom New Media;29/09/1994
Bulls vs. Blazers and the NBA Playoffs;Super Nintendo;Electronic Arts;1992
Cal Ripken Jr. Baseball;Super Nintendo;Acme Interactive;1993
California Games II;Super Nintendo;Silicon Sorcery;1993
Cannon Fodder;Super Nintendo;Sensible Software;01/1994
Captain America and The Avengers;Super Nintendo;Realtime Associates;1993
Captain Commando;Super Nintendo;Capcom;1995
Carrier Aces;Super Nintendo;Synergistic Software;1995
Casper;Super Nintendo;Imagineering;1997
Castlevania: Vampire's Kiss;Super Nintendo;Konami;22/02/1996
Champions World Class Soccer;Super Nintendo;Park Place Productions;19/05/1994
Championship Pool;Super Nintendo;Bitmasters;1993
Choplifter III;Super Nintendo;Beam Software;1994
Chuck Rock;Super Nintendo;Core Design;1992
ClayFighter;Super Nintendo;Visual Concepts;26/05/1994
ClayFighter 2: Judgment Clay;Super Nintendo;Interplay Entertainment;23/05/1995
Claymates;Super Nintendo;Visual Concepts;20/11/1993
Cliffhanger;Super Nintendo;Malibu Interactive;1993
Congo's Caper;Super Nintendo;Data East;1993
Cool Spot;Super Nintendo;Virgin Interactive Entertainment;24/02/1994
Cool World;Super Nintendo;Painting by Numbers;1992
