Nom du jeu;Date de sortie;Studio de développement;Plateforme
Freedom Wars Remastered;2025-01-10;Dimps;Playstation5
Tales of Graces f Remastered;2025-01-17;TOSE / Bandai Namco Studios;Playstation5
Dynasty Warriors: Origins;2025-01-17;Omega Force;Playstation5
Cuisineer;2025-01-28;BattleBrew Productions;Playstation5
Sniper Elite: Resistance;2025-01-30;Rebellion Developments;Playstation5
Phantom Brave: The Lost Hero;2025-01-30;Nippon Ichi Software;Playstation5
Kingdom Come: Deliverance II;2025-02-04;Warhorse Studios;Playstation5
Sid Meier's Civilization VII;2025-02-11;Firaxis Games;Playstation5
The Legend of Heroes: Trails Through Daybreak II;2025-02-14;Nihon Falcom;Playstation5
Tomb Raider IV-VI Remastered;2025-02-14;Aspyr / Crystal Dynamics;Playstation5
Rugby 25;2025-02-13;Big Ant Studios
Afterlove EP;2025-02-14;Pikselnesia
Like a Dragon: Pirate Yakuza in Hawaii;2025-02-21;Ryu Ga Gotoku Studio;Playstation5
Monster Hunter Wilds;2025-02-28;Capcom
1917: The Alien Invasion DX Remastered;2025-02-28;Andrade Games;Playstation5
Two Point Museum;2025-03-04;Two Point Studios;Playstation5
Split Fiction;2025-03-06;Hazelight Studios;Playstation5
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars;2025-03-06;Konami;Playstation5
WWE 2K25;2025-03-14;Visual Concepts
MLB The Show 25;2025-03-18;San Diego Studio;Playstation5
Assassin's Creed Shadows;2025-03-20;Ubisoft Quebec;Playstation5
Atelier Yumia: The Alchemist of Memories & the Envisioned Land;2025-03-21;Gust;Playstation5
Bleach: Rebirth of Souls;2025-03-21;Tamsoft;Playstation5
Atomfall;2025-03-27;Rebellion Developments;Playstation5
The First Berserker: Khazan;2025-03-27;Neople;Playstation5
South of Midnight;2025-04-08;Compulsion Games;Playstation5
Amerzone: The Explorer's Legacy;2025-04-24;Microids Studio Paris;Playstation5
Clair Obscur: Expedition 33;2025-04-24;Sandfall Interactive;Playstation5
Fatal Fury: City of the Wolves;2025-04-24;SNK;Playstation5
Days Gone Remastered;2025-04-25;Bend Studio;Playstation5
Forza Horizon 5;2025-04-29;Playground Games;Playstation5
MotoGP 25;2025-04-30;Milestone
Doom: The Dark Ages;2025-05-15;id Software;Playstation5
Capcom Fighting Collection 2;2025-05-16;Capcom;Playstation5
Onimusha 2: Samurai's Destiny;2025-05-23;Capcom;Playstation5
F1 25;2025-05-30;Codemasters
Elden Ring Nightreign;2025-05-30;FromSoftware;Playstation5
Raidou Remastered: The Mystery of the Soulless Army;2025-06-19;Atlus;Playstation5
Death Stranding 2: On the Beach;2025-06-26;Kojima Productions;Playstation5
The Alters;2025-06-13;11 bit studios
Tony Hawk's Pro Skater 3 + 4;2025-07-11;Iron Galaxy Studios;Playstation5
RoboCop: Rogue City - Unfinished Business;2025-07-17;Teyon;Playstation5
Wuchang: Fallen Feathers;2025-07-24;Leenzee;Playstation5
Ninja Gaiden: Ragebound;2025-07-31;The Game Kitchen;Playstation5
Mafia: The Old Country;2025-08-08;Hangar 13;Playstation5
Gears of War: Reloaded;2025-08-26;The Coalition;Playstation5
Metal Gear Solid Delta: Snake Eater;2025-08-28;Konami / Virtuos;Playstation5
Lost Soul Aside;2025-08-29;Ultizero Games;Playstation5
Hell is Us;2025-09-04;Rogue Factor
Cronos: The New Dawn;2025-09-05;Bloober Team;Playstation5
Class of Heroes 3 Remaster;2025-09-05;Acquire / Zerodiv;Playstation5
Borderlands 4;2025-09-12;Gearbox Software;Playstation5
The Legend of Heroes: Trails in the Sky 1st Chapter;2025-09-19;Nihon Falcom;Playstation5
Sonic Racing: CrossWorlds;2025-09-25;Sonic Team;Playstation5
Silent Hill f;2025-09-25;NeoBards Entertainment;Playstation5
Agatha Christie: Death on the Nile;2025-09-25;Microids Studio Lyon;Playstation5
EA Sports FC 26;2025-09-26;EA Vancouver / EA Romania;Playstation5
Ghost of Yotei;2025-10-02;Sucker Punch Productions;Playstation5
Digimon Story: Time Stranger;2025-10-03;Media.Vision;Playstation5
Little Nightmares III;2025-10-10;Supermassive Games;Playstation5
Battlefield 6;2025-10-10;Battlefield Studios;Playstation5
Ninja Gaiden 4;2025-10-21;Team Ninja / PlatinumGames;Playstation5
Jurassic World Evolution 3;2025-10-21;Frontier Developments;Playstation5
The Outer Worlds 2;2025-10-29;Obsidian Entertainment;Playstation5
Dragon Quest I & II HD-2D Remake;2025-10-30;Artdink / Square Enix;Playstation5
Football Manager 26;2025-11-04;Sports Interactive;Playstation5
Age of Empires IV: Anniversary Edition;2025-11-04;Relic Entertainment / World's Edge;Playstation5
Syberia Remastered;2025-11-06;Microids Studio Paris;Playstation5
Anno 117: Pax Romana;2025-11-13;Ubisoft Mainz;Playstation5
Call of Duty: Black Ops 7;2025-11-14;Treyarch / Raven Software;Playstation5
1000xResist;2025-11-04;Sunset Visitor
Dying Light: The Beast;2025-12-31;Techland;Playstation5
Dead End City;2025-12-31;Pixel Licker
Amber Alert;2025-12-31;MEATBREAD
Oxide Room 208;2025-12-31;WildSphere
Darksiders Warmastered Edition;2025-12-31;KAIKO / Vigil Games;Playstation5
System Shock 2: Remastered;2025-12-31;Nightdive Studios;Playstation5
Tiny Bookshop;2025-12-31;neoludic games
Dead of Darkness;2025-12-31;Retrofiction Games;Playstation5
Forgive Me Father 2;2025-12-31;Byte Barrel;Playstation5
Total Chaos;2025-12-31;Trigger Happy Interactive;Playstation5
Rushing Beat X: Return of the Brawl Brothers;2025-12-31;City Connection;Playstation5
The Bearer & the Last Flame;2025-12-31;Dark Reaper Studio;Playstation5
Portrait of a Torn;2025-12-31;Somepx
The Last Case of John Morley;2025-12-31;Blyts;Playstation5
Necrophosis: Full Consciousness;2025-12-31;Dragonis Games;Playstation5
