"nom_machine","nom_fabricant","date_mise_en_vente","date_retrait_vente"
"Magnavox Odyssey","Magnavox","1972-09","1975"
"Ping-O-Tronic","Zanussi/Sèleco","1974","Inconnue"
"Overkal","Inter Electrónica","1974","Inconnue"
"Tele-Games Pong","Atari/Sears","1975","1977"
"Atari Home Pong","Atari","1975","1977"
"Coleco Telstar","Coleco","1976","1978"
"APF TV Fun","APF Electronics","1976","1978"
"Binatone TV Master","Binatone","1976","Inconnue"
"Color TV-Game 6","Nintendo","1977-06-01","1978"
"Color TV-Game 15","Nintendo","1977-06-08","1980"
"BSS 01","RFT","1977","Inconnue"
"VideoSport MK2","Henry's","1977","Inconnue"
"TVG-10","Philips","1977","Inconnue"
"Odyssey 300","Magnavox","1976","1977"
"Odyssey 400","Magnavox","1976","1977"
"Odyssey 500","Magnavox","1976","1977"
"Odyssey 2000","Magnavox","1977","1978"
"Odyssey 3000","Magnavox","1977","1978"
"Odyssey 4000","Magnavox","1977","1978"
"Coleco Telstar Alpha","Coleco","1977","1978"
"Coleco Telstar Colormatic","Coleco","1977","1978"
"Coleco Telstar Regent","Coleco","1977","1978"
"Coleco Telstar Ranger","Coleco","1977","1978"
"Coleco Telstar Combat!","Coleco","1977","1978"
"Stunt Cycle","Atari","1977","1978"
"Atari Video Pinball","Atari","1977","1978"
"Color TV-Game Racing 112","Nintendo","1978-06-08","1980"
"Coleco Telstar Arcade","Coleco","1978","1979"
"Bandai TV Jack 5000","Bandai","1978","Inconnue"
"Channel F","Fairchild Camera and Instrument","1976-11","1983"
"RCA Studio II","RCA","1977-01","1979"
"Atari 2600 / Video Computer System","Atari","1977-09-11","1992-01-01"
"Bally Astrocade","Bally/Midway","1978-04","1985"
"APF-MP1000","APF Electronics","1978-01-01","Inconnue"
"1292 Advanced Programmable Video System","Audiosonic","1978","Inconnue"
"Champion 2711","Unisonic","1978","Inconnue"
"Interton VC 4000","Interton","1978","1983"
"Palladium Tele-Cassetten Game","Palladium","1978","Inconnue"
"Odyssey 2 / Videopac G7000","Magnavox/Philips","1978-12","1984"
"APF Imagination Machine","APF Electronics","1979","Inconnue"
"Bandai Super Vision 8000","Bandai","1979","1982"
"Intellivision","Mattel Electronics","1980","1990"
"VTech CreatiVision","VTech","1981","1986"
"Cassette Vision","Epoch","1981-07-30","1984"
"Arcadia 2001","Emerson Radio","1982-05","1984"
"SHG Black Point","Süddeutsche Elektro-Hausgeräte","1982","Inconnue"
"ColecoVision","Coleco","1982-08","1985-10"
"Atari 5200","Atari","1982-11","1984-05-21"
"Vectrex","General Consumer Electronics/Milton Bradley","1982-11","1984"
"Compact Vision TV Boy","Gakken","1983-10","Inconnue"
"Videopac+ G7400","Philips","1983","1984"
"My Vision","Nichibutsu","1983","Inconnue"
"Pyuuta Jr.","Tomy","1983-04","Inconnue"
"SG-1000","Sega","1983-07-15","1985"
"Nintendo Entertainment System / Famicom","Nintendo","1983-07-15","2003-09"
"PV-1000","Casio","1983-10","1984"
"Super Cassette Vision","Epoch","1984-07-17","1987"
"Bridge Companion","BBC/Heber","1985","Inconnue"
"Video Art","LJN","1985","Inconnue"
"Zemmix","Daewoo Electronics","1985","1995"
"Master System / Sega Mark III","Sega","1985-10-20","1996"
"Family Computer Disk System","Nintendo","1986-02-21","1992"
"Videosmarts","Connor Electronics/VTech","1986","1990"
"Atari 7800","Atari Corporation","1986-05","1992-01-01"
"Atari XEGS","Atari Corporation","1987","1992"
"Video Challenger","Tomy/Bandai","1987","Inconnue"
"Action Max","Worlds of Wonder","1987","1988"
"PC Engine / TurboGrafx-16","NEC/Hudson Soft","1987-10-30","1994"
"View-Master Interactive Vision","View-Master Ideal Group","1988","Inconnue"
"Terebikko","Bandai","1988","Inconnue"
"VTech Socrates","VTech","1988","1996"
"Video Driver","Sega","1988-10","Inconnue"
"Mega Drive / Genesis","Sega","1988-10-29","1997"
"TurboGrafx-CD / CD-ROM2","NEC","1988-12-04","1994"
"PC Engine SuperGrafx","NEC","1989-12-08","1991"
"Neo Geo AES","SNK","1990-04-26","1997"
"GX4000","Amstrad","1990-09","1991"
"Super Nintendo Entertainment System / Super Famicom","Nintendo","1990-11-21","2003-09"
"Commodore 64 Games System","Commodore","1990-12","1991"
"CDTV","Commodore","1991-03","1993"
"CD-i","Philips","1991-12-03","1998"
"Mega-CD / Sega CD","Sega","1991-12-12","1996"
"Picno","Konami","1992","Inconnue"
"Memorex VIS","Memorex/Tandy","1992-06","1994"
"FM Towns Marty","Fujitsu","1993-02-20","1995"
"Sega Pico","Sega","1993-06-26","2005"
"Pioneer LaserActive","Pioneer","1993-08-20","1994"
"Amiga CD32","Commodore","1993-09-17","1994"
"3DO Interactive Multiplayer","The 3DO Company/Panasonic/Sanyo/GoldStar","1993-10-04","1996"
"Atari Jaguar","Atari Corporation","1993-11-23","1996"
"CPS Changer","Capcom","1994","1995"
"Neo Geo CD","SNK","1994-09-09","1997"
"Playdia","Bandai","1994-09-23","1996"
"Sega 32X","Sega","1994-11-21","1996"
"Sega Saturn","Sega","1994-11-22","2000"
"PlayStation","Sony Computer Entertainment","1994-12-03","2006-03-23"
"PC-FX","NEC","1994-12-23","1998"
"Pippin","Apple/Bandai","1995-03-28","1997"
"Satellaview","Nintendo","1995-04-23","2000-06-30"
"Atari Jaguar CD","Atari Corporation","1995-09-21","1996"
"Casio Loopy","Casio","1995-10-19","1998"
"Super A'Can","Funtech","1995-10-25","1996"
"Nintendo 64","Nintendo","1996-06-23","2003-11-30"
"Dreamcast","Sega","1998-11-27","2001-03-31"
"Nintendo 64DD","Nintendo","1999-12-01","2001-02"
"Nuon","VM Labs","2000","2003"
"PlayStation 2","Sony Computer Entertainment","2000-03-04","2013-01-04"
"GameCube","Nintendo","2001-09-14","2007"
"Xbox","Microsoft","2001-11-15","2009-03-02"
"DVD Kids","3-Plus","2002","Inconnue"
"XavixPORT","SSD Company Limited","2004","Inconnue"
"V.Smile","VTech","2004-08-04","2015"
"Game Wave Family Entertainment System","ZAPiT Games","2005-10","2009"
"Xbox 360","Microsoft","2005-11-22","2016-04-20"
"Advanced Pico Beena","Sega","2005","2011"
"V.Smile Baby Infant Development System","VTech","2006","2010"
"V.Flash","VTech","2006-09","2007"
"HyperScan","Mattel","2006-10-23","2007"
"PlayStation 3","Sony Computer Entertainment","2006-11-11","2017-05-29"
