"nom_machine","nom_alternatif","categorie","zone_ou_usage","commentaire"
"Magnavox Odyssey","Odyssey","nom_court","International","Nom court courant."
"Ping-O-Tronic","Ping-O-Tronic Telescore","nom_alternatif","Europe","Variante de denomination commerciale."
"Overkal","Overkal 1","nom_alternatif","Espagne","Nom parfois utilise pour distinguer le premier modele."
"Tele-Games Pong","Sears Tele-Games Pong","nom_alternatif","Etats-Unis","Nom commercial complet Sears."
"Atari Home Pong","Home Pong","nom_court","International","Nom court courant."
"Coleco Telstar","Telstar","nom_court","International","Nom court courant."
"APF TV Fun","TV Fun","nom_court","Etats-Unis","Nom court courant."
"Binatone TV Master","TV Master","nom_court","Europe","Nom court courant."
"Color TV-Game 6","Color TV Game 6","orthographe","Japon","Variante sans trait d'union."
"Color TV-Game 15","Color TV Game 15","orthographe","Japon","Variante sans trait d'union."
"BSS 01","Bildschirmspiel 01","nom_alternatif","Allemagne de l'Est","Nom developpe."
"VideoSport MK2","VideoSport MK II","orthographe","Royaume-Uni","Variante avec numerotation romaine."
"TVG-10","Philips TVG-10","nom_alternatif","Europe","Nom avec fabricant."
"Odyssey 300","Magnavox Odyssey 300","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Odyssey 400","Magnavox Odyssey 400","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Odyssey 500","Magnavox Odyssey 500","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Odyssey 2000","Magnavox Odyssey 2000","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Odyssey 3000","Magnavox Odyssey 3000","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Odyssey 4000","Magnavox Odyssey 4000","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Coleco Telstar Alpha","Telstar Alpha","nom_court","International","Nom court courant."
"Coleco Telstar Colormatic","Telstar Colormatic","nom_court","International","Nom court courant."
"Coleco Telstar Regent","Telstar Regent","nom_court","International","Nom court courant."
"Coleco Telstar Ranger","Telstar Ranger","nom_court","International","Nom court courant."
"Coleco Telstar Combat!","Telstar Combat","orthographe","International","Variante sans point d'exclamation."
"Stunt Cycle","Atari Stunt Cycle","nom_alternatif","Etats-Unis","Nom avec fabricant."
"Atari Video Pinball","Video Pinball","nom_court","Etats-Unis","Nom court courant."
"Color TV-Game Racing 112","Color TV Game Racing 112","orthographe","Japon","Variante sans trait d'union."
"Coleco Telstar Arcade","Telstar Arcade","nom_court","International","Nom court courant."
"Bandai TV Jack 5000","TV Jack 5000","nom_court","Japon","Nom court courant."
"Channel F","Fairchild Channel F","nom_alternatif","Etats-Unis","Nom commercial complet courant."
"RCA Studio II","Studio II","nom_court","Etats-Unis","Nom court courant."
"Atari 2600 / Video Computer System","Atari 2600","nom_court","International","Nom le plus utilise."
"Atari 2600 / Video Computer System","Video Computer System","nom_alternatif","Etats-Unis","Nom commercial initial."
"Atari 2600 / Video Computer System","VCS","abreviation","Etats-Unis","Abreviation de Video Computer System."
"Bally Astrocade","Bally Professional Arcade","ancien_nom","Etats-Unis","Premier nom commercial."
"Bally Astrocade","Astrocade","nom_court","Etats-Unis","Nom court courant."
"APF-MP1000","APF MP1000","orthographe","Etats-Unis","Variante sans trait d'union."
"1292 Advanced Programmable Video System","1292 APVS","abreviation","Europe","Abreviation courante."
"Champion 2711","Unisonic Champion 2711","nom_alternatif","Europe","Nom avec fabricant."
"Interton VC 4000","VC 4000","nom_court","Europe","Nom court courant."
"Palladium Tele-Cassetten Game","Tele-Cassetten Game","nom_court","Allemagne","Nom court courant."
"Odyssey 2 / Videopac G7000","Odyssey 2","nom_court","Etats-Unis","Nom nord-americain."
"Odyssey 2 / Videopac G7000","Videopac G7000","nom_alternatif","Europe","Nom europeen Philips."
"Odyssey 2 / Videopac G7000","Philips Videopac","nom_alternatif","Europe","Nom de famille couramment utilise."
"APF Imagination Machine","Imagination Machine","nom_court","Etats-Unis","Nom court courant."
"Bandai Super Vision 8000","Super Vision 8000","nom_court","Japon","Nom court courant."
"Intellivision","Mattel Intellivision","nom_alternatif","International","Nom avec fabricant."
"VTech CreatiVision","CreatiVision","nom_court","International","Nom court courant."
"Cassette Vision","Epoch Cassette Vision","nom_alternatif","Japon","Nom avec fabricant."
"Arcadia 2001","Emerson Arcadia 2001","nom_alternatif","Etats-Unis","Nom avec fabricant."
"SHG Black Point","Black Point","nom_court","Allemagne","Nom court courant."
"ColecoVision","Coleco Vision","orthographe","International","Variante avec espace."
"Atari 5200","Atari 5200 SuperSystem","nom_alternatif","Etats-Unis","Nom commercial complet."
